NAME                       	NAMESPACE          	REVISION	UPDATED                                	STATUS  	CHART                              	APP VERSION                 
analyst-agents             	neural-hive        	37      	2026-03-27 15:35:19.722348772 +0000 UTC	deployed	analyst-agents-1.0.0               	1.2.0                       
approval-gateway           	neural-hive        	2       	2026-04-22 15:19:01.175448984 +0000 UTC	deployed	approval-gateway-1.0.0             	1.0.0                       
approval-gateway           	neural-hive-mind   	2       	2026-04-18 14:45:07.394005383 +0100 WAT	deployed	approval-gateway-1.0.0             	1.0.0                       
architect-agent            	neural-hive        	1       	2026-04-22 22:34:56.020455179 +0000 UTC	failed  	architect-agent-1.0.0              	1.0.0                       
architect-agent            	neural-hive-mind   	2       	2026-04-23 10:59:33.261381361 +0100 WAT	deployed	architect-agent-1.0.0              	1.0.0                       
cert-manager               	cert-manager       	4       	2025-12-10 11:33:46.536771058 +0100 WAT	deployed	cert-manager-v1.19.2               	v1.19.2                     
clickhouse                 	clickhouse-cluster 	1       	2025-11-20 14:29:29.41383333 +0100 WAT 	deployed	clickhouse-0.1.0                   	23.8                        
clickhouse-operator        	clickhouse-operator	1       	2025-11-20 14:27:40.240261482 +0100 WAT	deployed	altinity-clickhouse-operator-0.25.5	0.25.5                      
consensus-engine           	neural-hive        	37      	2026-03-25 09:17:03.474739574 +0000 UTC	deployed	consensus-engine-0.1.8             	1.0.8                       
consensus-engine           	neural-hive-staging	16      	2026-02-01 22:04:32.952437327 +0000 UTC	failed  	consensus-engine-0.1.8             	1.0.8                       
data-migration             	neural-hive-mind   	2       	2026-04-23 10:59:51.399540413 +0100 WAT	deployed	data-migration-1.0.0               	1.0.0                       
data-migration             	neural-hive        	1       	2026-04-29 20:49:50.244731313 +0000 UTC	failed  	data-migration-1.0.0               	1.0.0                       
doc-ingestion              	neural-hive        	1       	2026-04-29 20:49:39.914829169 +0000 UTC	failed  	doc-ingestion-1.0.0                	1.0.0                       
doc-ingestion              	neural-hive-mind   	2       	2026-04-23 11:00:05.706251437 +0100 WAT	deployed	doc-ingestion-1.0.0                	1.0.0                       
documentation-generation   	neural-hive        	1       	2026-04-23 15:32:13.66091672 +0000 UTC 	failed  	documentation-generation-1.0.0     	1.0.0                       
documentation-generation   	neural-hive-mind   	3       	2026-04-23 11:00:26.306017814 +0100 WAT	deployed	documentation-generation-1.0.0     	1.0.0                       
execution-ticket-service   	neural-hive        	36      	2026-03-25 08:26:54.750934951 +0000 UTC	deployed	execution-ticket-service-1.0.0     	1.0.0                       
explainability-api         	neural-hive        	34      	2026-03-25 08:28:48.87846987 +0000 UTC 	deployed	explainability-api-1.0.0           	1.0.0                       
external-dns               	kube-system        	2       	2025-12-10 14:59:55.335047397 +0100 WAT	deployed	external-dns-1.19.0                	0.19.0                      
fluxo-g-dashboard          	neural-hive-mind   	3       	2026-04-23 11:01:25.572370526 +0100 WAT	deployed	fluxo-g-dashboard-1.0.0            	1.0.0                       
gatekeeper                 	gatekeeper-system  	1       	2026-04-11 23:41:04.533054716 +0100 WAT	failed  	gatekeeper-3.22.0                  	v3.22.0                     
gateway-intencoes          	neural-hive-staging	29      	2026-01-31 11:40:59.485740069 +0000 UTC	failed  	gateway-intencoes-0.1.0            	1.0.0                       
