NAME                          STATUS   AGE
consensus-engine              Active   7d4h
default                       Active   12d
gateway-intencoes             Active   10d
kafka                         Active   12d
kube-flannel                  Active   12d
kube-node-lease               Active   12d
kube-public                   Active   12d
kube-system                   Active   12d
local-path-storage            Active   12d
memory-layer-api              Active   7d5h
mlflow                        Active   11d
mongodb-cluster               Active   12d
neo4j-cluster                 Active   12d
neural-hive                   Active   13h
portainer                     Active   2d2h
redis-cluster                 Active   12d
semantic-translation-engine   Active   7d5h
specialist-architecture       Active   11d
specialist-behavior           Active   11d
specialist-business           Active   11d
specialist-evolution          Active   11d
specialist-technical          Active   11d
